,project_id,foiv,7.1,7.1_other,14.2,14.3,14.4,7.2,7.2_other,7.1.6_total_once,7.1.6_total_regular,7.1.6_total_benefit_once,7.1.6_total_benefit_regular,9.5,9.6,9.7,2.1
42,98566,ФНС России,foiv_cit_no_action,foiv_cit_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
43,92860,Минсельхоз России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
44,98330,Минфин России,cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
45,101928,Минздрав России,cit_action,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
46,95080,Минпромторг России,cit_action,cit_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
47,100664,Минтранс России,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
48,100664,Минтранс России,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
49,102133,Минфин России,mystery,foiv_cit_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
50,102557,Рособрнадзор,actor_specific,foiv_no_action,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
51,99644,Минтранс России,actor_general,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
52,95419,ФНС России,foiv_cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
53,100209,Ростехнадзор,actor_specific,mystery,valid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
54,100807,Минпромторг России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
55,101774,Ростехнадзор,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
56,101774,Ростехнадзор,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
57,101122,Росфинмониторинг,actor_general,foiv_no_action,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,valid,высокая
58,95270,Минпромторг России,cit_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,valid,valid,invalid,высокая
59,97371,Минприроды России,foiv_no_action,actor_general,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
60,100800,Минприроды России,actor_general,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
61,99015,Минфин России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,invalid,invalid,средняя
62,77137,ФНС России,actor_general,foiv_cit_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
63,99688,Минздрав России,actor_specific,mystery,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
64,100493,Минстрой России,mystery,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
65,99218,Росрыболовство,cit_no_action,mystery,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
66,94756,МЧС России,actor_general,no_info,valid,invalid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
67,94756,МЧС России,actor_general,no_info,valid,invalid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
68,94756,МЧС России,actor_general,no_info,valid,invalid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
69,94756,МЧС России,actor_general,no_info,valid,invalid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
70,106397,Минздрав России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
71,106397,Минздрав России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
72,106397,Минздрав России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
73,106397,Минздрав России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
74,102353,Минстрой России,cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
75,101945,Ростехнадзор,cit_action,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
