regulation_project_id;public_discussion_end
16575;04.10.2014 00:00:00
19866;11.12.2014 23:59:00
9692;07.02.2014 00:00:00
62419;24.03.2017 23:00:00
11000;15.02.2014 00:00:00
11001;21.02.2014 00:00:00
5769;06.12.2013 00:00:00
12347;13.03.2014 00:00:00
5741;15.11.2013 00:00:00
8243;23.10.2015 23:00:00
14785;22.05.2014 00:00:00
16623;20.05.2017 00:00:00
24063;28.02.2016 23:00:00
18603;03.10.2014 00:00:00
21058;18.01.2015 00:00:00
13731;02.05.2014 00:00:00
7118;04.02.2014 00:00:00
20517;03.12.2014 00:00:00
11141;14.03.2014 00:00:00
13773;31.07.2014 23:59:00
16785;22.08.2014 00:00:00
13796;23.05.2014 00:00:00
18364;24.09.2014 00:00:00
8400;11.02.2014 00:00:00
20099;09.10.2015 23:00:00
13801;22.05.2014 00:00:00
11308;30.03.2017 23:00:00
11314;15.06.2014 00:00:00
12628;22.06.2014 00:00:00
11172;09.12.2014 00:00:00
12661;28.06.2014 23:59:00
13836;05.09.2014 00:00:00
15483;10.08.2014 00:00:00
15488;15.07.2014 00:00:00
19444;07.08.2015 00:00:00
11881;12.11.2014 23:59:00
18475;21.02.2015 00:00:00
23605;12.08.2015 23:00:00
12531;23.06.2014 00:00:00
19082;15.11.2016 23:00:00
6070;
19103;07.05.2015 00:00:00
19117;07.11.2014 00:00:00
23028;24.02.2015 00:00:00
11411;20.05.2015 00:00:00
16985;12.09.2014 00:00:00
17035;12.09.2014 00:00:00
16935;16.10.2014 00:00:00
25459;23.06.2015 00:00:00
18515;16.10.2014 00:00:00
16945;19.09.2014 00:00:00
16998;16.06.2016 23:00:00
23205;28.02.2015 00:00:00
19725;10.01.2015 00:00:00
23192;27.02.2015 00:00:00
23082;25.02.2015 00:00:00
15431;02.05.2015 00:00:00
10549;28.09.2014 00:00:00
20045;06.12.2014 00:00:00
20513;02.01.2015 00:00:00
21534;26.02.2015 00:00:00
17522;12.10.2014 00:00:00
18789;10.10.2014 00:00:00
25414;27.06.2015 00:00:00
18612;08.05.2015 00:00:00
11422;31.05.2015 00:00:00
23694;08.04.2015 00:00:00
25485;11.07.2015 00:00:00
12690;12.04.2014 00:00:00
18617;03.03.2015 00:00:00
15456;09.12.2014 00:00:00
22346;03.05.2015 00:00:00
21568;14.02.2015 00:00:00
23193;
22848;26.03.2018 00:00:00
26639;09.07.2015 00:00:00
20944;25.01.2015 00:00:00
14782;
22840;19.10.2016 23:00:00
22954;28.03.2015 00:00:00
15658;12.11.2014 00:00:00
14461;11.07.2014 00:00:00
21509;30.12.2014 00:00:00
23754;18.03.2015 00:00:00
21345;09.01.2015 00:00:00
23034;16.04.2015 00:00:00
15676;02.08.2014 00:00:00
23149;19.05.2015 00:00:00
22059;12.02.2015 00:00:00
24210;04.04.2015 00:00:00
23215;26.04.2018 23:00:00
21288;21.02.2015 00:00:00
18761;11.05.2015 00:00:00
11237;17.04.2014 00:00:00
21267;02.05.2017 23:00:00
24190;09.05.2015 00:00:00
21493;17.03.2015 00:00:00
23310;22.04.2015 00:00:00
25660;09.03.2016 23:00:00
23108;17.04.2015 00:00:00
22006;30.01.2015 00:00:00
4013;17.07.2013 23:59:00
24786;21.06.2015 00:00:00
23737;06.06.2015 00:00:00
17213;28.11.2014 00:00:00
5756;12.09.2013 00:00:00
23155;23.07.2015 00:00:00
17351;11.09.2018 23:59:00
17202;29.11.2014 00:00:00
24292;08.04.2015 00:00:00
17205;20.03.2016 23:00:00
18819;25.12.2014 00:00:00
11201;28.02.2014 00:00:00
18834;19.01.2020 23:59:00
24324;08.04.2015 00:00:00
23285;18.03.2015 00:00:00
23367;25.03.2015 00:00:00
23286;18.03.2015 00:00:00
23369;17.10.2015 23:00:00
22206;28.02.2015 00:00:00
23370;07.06.2015 00:00:00
23964;26.05.2015 00:00:00
23331;20.03.2015 00:00:00
25724;02.07.2015 00:00:00
26309;30.06.2015 00:00:00
23455;09.10.2015 23:00:00
25726;03.07.2015 00:00:00
22336;19.02.2015 23:59:00
24014;01.05.2015 00:00:00
23998;27.10.2016 00:00:00
1299;05.06.2013 00:00:00
22386;28.02.2015 00:00:00
25857;23.08.2015 00:00:00
9928;21.04.2015 00:00:00
22520;14.05.2015 00:00:00
23989;23.05.2015 23:59:00
18388;25.09.2014 00:00:00
22635;28.02.2015 00:00:00
22234;17.02.2015 00:00:00
22613;27.02.2015 00:00:00
22637;11.05.2015 00:00:00
4657;26.07.2013 00:00:00
22701;19.03.2015 00:00:00
15351;27.06.2014 00:00:00
24026;29.04.2015 00:00:00
22719;18.04.2015 00:00:00
24296;21.10.2016 23:00:00
1962;06.06.2013 00:00:00
15354;27.06.2014 00:00:00
11790;16.02.2014 00:00:00
24479;31.05.2015 00:00:00
15356;12.06.2014 00:00:00
26304;19.07.2015 00:00:00
22750;13.09.2018 23:00:00
19104;
26273;17.08.2015 00:00:00
24160;20.06.2015 00:00:00
4664;27.07.2013 00:00:00
